"Year" "Pairs" "R.Pairs" "Eyasses"
"1" 1964 34 19 27
"2" 1965 45 18 30
"3" 1966 39 22 36
"4" 1967 36 19 37
"5" 1968 20 8 19
"6" 1969 18 7 10
"7" 1970 21 9 9
"8" 1971 20 11 17
"9" 1972 17 10 15
"10" 1973 20 12 23
"11" 1974 23 15 35
"12" 1975 27 19 40
"13" 1976 29 21 42
"14" 1977 39 27 53
"15" 1978 43 32 65
"16" 1979 47 35 77
"17" 1980 57 42 97
"18" 1981 56 36 81
"19" 1982 63 52 112
"20" 1983 70 44 85
"21" 1984 82 58 121
"22" 1985 90 54 117
"23" 1986 95 59 122
"24" 1987 107 72 154
"25" 1988 114 80 141
"26" 1989 121 81 173
"27" 1990 132 95 205
"28" 1991 134 101 209
"29" 1992 143 92 176
"30" 1993 150 114 238
"31" 1994 154 74 143
"32" 1995 172 79 121
"33" 1996 163 115 233
"34" 1997 164 102 225
"35" 1998 161 102 200
"36" 1999 137 76 112
"37" 2000 157 104 240
"38" 2001 153 64 130
"39" 2002 191 107 178
"40" 2003 193 104 197
