	species	point	bm	specnr	count1	count2	count3	count4	count5
1	fricoe	610	23	31	0	1	0	0	0
2	erirub	610	17	27	0	0	0	0	0
3	trotro	610	10	78	0	0	0	0	0
4	prumod	610	21	65	0	0	0	0	0
5	turmer	610	93	79	0	0	0	0	1
6	turphi	610	70	80	1	0	1	0	0
7	phycol	610	8	58	0	1	0	0	0
8	phytro	610	9	60	0	0	0	0	0
9	physib	610	10	59	0	0	0	0	0
10	parmaj	610	19	50	1	0	1	0	0
11	parcae	610	12	48	1	0	0	0	1
12	parpal	610	11	52	0	0	0	0	0
13	parmon	610	11	51	0	0	0	0	0
14	parcri	610	11	49	0	0	0	0	0
15	parate	610	10	47	0	0	0	0	0
16	aegcau	610	8	4	0	0	0	0	0
17	cerbra	610	9	13	0	0	0	0	0
18	cerfam	610	9	14	0	0	0	0	0
19	regreg	610	6	67	0	0	0	0	0
20	regign	610	5	66	0	0	0	0	0
21	siteur	610	23	70	1	0	0	0	0
22	anttri	610	22	7	0	0	0	0	0
23	embcit	610	29	25	0	2	2	2	1
24	sylatr	610	19	73	0	1	0	0	0
25	sylbor	610	19	74	0	0	0	0	0
26	sylcur	610	12	76	0	1	0	0	0
27	sylcom	610	15	75	0	1	1	0	1
28	ficalb	610	13	30	0	0	0	0	0
29	apuapu	610	42	8	0	0	0	0	2
30	denmaj	610	81	21	0	0	0	0	0
31	denmed	610	63	22	0	0	0	0	0
32	picvir	610	191	63	0	0	0	0	0
33	piccan	610	127	61	0	0	0	0	0
34	drymar	610	310	24	0	0	0	0	0
35	jyntor	610	36	37	0	1	1	0	0
36	denmin	610	21	23	0	0	0	0	0
37	musstr	610	15	45	0	0	0	0	0
38	cuccan	610	126	18	0	0	1	0	0
39	gargla	610	161	34	0	0	0	0	0
40	alaarv	610	37	5	2	0	0	0	0
41	stuvul	610	82	72	0	0	2	0	0
42	carchl	610	28	11	1	0	0	1	0
43	serser	610	12	69	0	1	0	1	1
44	pasdom	610	32	53	1	3	0	2	0
45	pasmon	610	23	54	0	0	4	4	5
46	carcar	610	17	10	0	0	3	0	1
47	coccoc	610	55	16	0	0	0	0	0
48	motalb	610	22	43	0	0	1	0	0
49	larrid	610	266	39	0	0	0	0	0
50	rempen	610	10	68	0	0	0	0	0
51	colpal	610	514	17	0	0	0	0	0
52	strdec	610	198	71	0	0	0	0	0
53	embsch	610	20	26	0	0	0	0	0
54	phooch	610	16	56	1	0	0	1	0
55	phopho	610	15	57	0	0	0	0	0
56	acrpal	610	13	3	0	0	0	0	0
57	hipict	610	14	35	0	1	0	0	0
58	hirrus	610	20	36	0	0	0	0	1
59	delurb	610	19	20	0	0	0	5	1
60	lusmeg	610	23	42	0	0	0	0	0
61	anapla	610	896	6	0	0	0	0	0
62	fulatr	610	747	32	0	0	0	0	0
63	podcri	610	943	64	0	0	0	0	0
64	cygolo	610	10550	19	0	0	0	0	0
65	phacol	610	1150	55	0	0	0	0	1
