	d1	d2	width
1	1	0	13.8
2	1	1	17.4
3	1	1	21
4	1	0	12.7
5	1	1	15.5
6	1	1	13
7	1	0	19.6
8	1	1	15.6
9	1	1	14.7
10	1	0	13.2
11	1	1	22.2
12	1	1	6.1
13	1	1	5.6
14	1	1	16.5
15	1	0	10.2
16	1	0	13.4
17	1	1	14.5
18	1	1	18.7
19	1	0	15.8
20	1	0	15.2
21	1	0	22.6
22	1	0	23
23	1	1	16.4
24	1	0	7.8
25	1	1	12.6
26	1	0	19.4
27	1	1	17.7
28	1	0	17.7
29	1	1	14.3
30	1	1	19.7
31	1	0	18.9
32	1	1	10.1
33	1	0	11.8
34	1	0	12.3
35	1	1	18.9
36	1	0	14.9
37	1	1	14.4
38	1	0	8.9
39	1	1	19.6
40	1	1	19.3
41	1	1	16.2
42	1	1	19.7
43	1	0	8.3
44	1	1	19
45	1	1	24
46	1	1	20.5
47	1	1	19.8
48	1	1	17
49	1	0	19.5
50	1	1	18.4
51	1	0	13.2
52	1	0	12.3
53	1	0	16.6
54	1	1	13.7
55	1	1	19.9
56	1	0	15.1
57	1	0	14.5
58	1	1	22.5
59	1	0	16.6
60	1	1	16.6
61	1	1	12.3
62	1	1	18.8
63	1	0	12.4
64	1	1	18.1
65	1	1	12.4
66	1	0	13.8
67	1	0	12.2
68	1	1	19.7
69	1	0	8.2
70	1	1	15
71	1	0	13.3
72	1	1	18
73	1	0	6.2
74	1	1	19.7
75	1	0	13.1
76	1	0	12.2
77	1	1	19.7
78	1	1	14.8
79	1	1	16.8
80	1	1	18.9
81	1	1	14.4
82	1	0	16.5
83	1	1	17.2
84	1	1	17.7
85	1	1	10.1
86	1	0	12
87	1	0	17.1
88	1	0	20
89	1	0	10.1
90	1	0	15.8
91	1	1	18.3
92	1	0	15
93	1	1	20.1
94	1	0	13.4
95	1	1	10.5
96	1	1	16.2
97	1	1	14
98	1	1	21
99	1	1	14.9
100	1	0	16.9
101	1	0	9.9
102	1	0	19.1
103	1	1	12.4
104	1	1	12.9
105	1	0	14.4
106	1	0	10.3
107	1	0	12.8
108	1	0	12.4
109	1	0	14.7
110	1	0	20.1
111	1	0	13.5
112	1	0	17.4
113	1	0	18.8
114	0	1	7.1
115	0	1	9.2
116	0	1	16.1
117	0	1	13.5
118	0	1	9
119	0	1	3.3
120	0	1	21.5
121	0	1	12.4
122	0	1	10.7
123	0	1	18.2
124	0	1	13.8
125	0	1	11.2
126	0	1	9.6
127	0	1	17.3
128	0	1	13.9
129	0	1	17.5
130	0	1	9.7
131	0	1	18
132	0	1	14
133	0	1	20
134	0	1	11.1
135	0	1	15.6
136	0	1	11.8
137	1	1	19.5
138	0	1	14
139	0	1	5.4
140	0	1	9.6
141	0	1	11.8
142	0	1	15.3
143	0	1	17.1
